Course No.,CRN,Course Title,CR.,Faculty,Days,From-To,Exam/Paper
LAWJ-534-08,(CRN #: 25661),Access to Health Care and Coverage: Law and Policy,3,"Westmoreland, Timothy M.",TR,1:55-3:20,TK
LAWJ-300-05,(CRN #: 25954),Accounting for Lawyers,2,"Rocha, Melissa / 
Woody, Kevin",M,3:30-5:30,TK
LAWJ-025-05,(CRN #: 13799),Administrative Law,3,"Silberman, Laurence",TR,1:55-3:20,TK
LAWJ-025-07,(CRN #: 27342),Administrative Law,3,"Nager, Glen D.",M,5:45-8:50,TK
LAWJ-1349-08,(CRN #: 32784),Administrative Law,3,"Heinzerling, Lisa",MW,9:35-11:00,12/7A
LAWJ-1474-05,(CRN #: 33049),"Advanced Civil Rights: The Civil Rights Act of 1964, The Frontiers of Civil Rights Enforcement and the Next Fifty Years",2,"Goldman, Tanya L. / 
Lopez, P. David",W,5:45-7:45,Paper
LAWJ-032-05,(CRN #: 30773),Advanced Criminal Procedure,2,"Tague, Peter W.",T,9:00-11:00,12/13A
LAWJ-032-07,(CRN #: 33042),Advanced Criminal Procedure,2,"Biros, Mark J.",M,5:45-7:45,12/12C
LAWJ-1089-05,(CRN #: 25606),Advanced Evidence: Trial Skills,2,"Blanco, Kenneth A.  /  Dalton, David M.",R,5:45-7:45,SR
LAWJ-036-05,(CRN #: 31129),Advanced Legal Writing and Practice for Judicial Clerks and Civil Litigators,2,"Perlin, Jonah",M,5:45-7:45,Paper
LAWJ-040-05,(CRN #: 23793),Advanced Patent Law Seminar,3,"Thomas, John R.",M,1:20-3:20,WR
LAWJ-2043-09,(CRN #: 29296),Advanced Topics in International Investment Arbitration,1,"Galindo, Alvaro H.",T,7:55-9:55,SR
LAWJ-308-05,(CRN #: 30687),Advertising Law,3,"Klass, Gregory",TR,9:35-11:00,TK
LAWJ-508-06,(CRN #: 14029),Affordable Housing Transactions Clinic (Harrison Institute) (formerly the Harrison Institute for Public Law: Housing and Development Clinic),7,"Diamond, Michael",F,9:00-12:00,SR
LAWJ-065-08,(CRN #: 13825),"Alternative, Complementary, and Integrative Medicine, The Legal Issues Seminar",3,"Cohn, Sherman / 
Bulen, James / 
Fortsch, Gregory / 
Missner, Jonathan",W,5:45-7:45,WR
LAWJ-015-05,(CRN #: 32971),American Legal History,3,"Ernst, Daniel R.",MW,1:55-3:20,TK
LAWJ-1167-05,(CRN #: 25055),Anatomy of a Federal Trial: The Prosecution and Defense Perspective,2,"Lopez, Jonathan E. / 
Pollack, Barry J.",M,5:45-7:45,Paper&SR
LAWJ-567-05,(CRN #: 14099),Animal Protection Litigation (FIELDWORK PRACTICUM),4,"Henry, Ralph  /  Lovvorn, Jonathan R.",W,1:20-3:20,Paper&SR
LAWJ-038-05,(CRN #: 13802),Antitrust Economics and Law,4,"Salop, Steven C.",TR,1:20-3:20,12/6B
LAWJ-038-07,(CRN #: 13803),Antitrust Law,3,"Pitt, Jonathan B. / 
Kuney, Steven R.",M,5:45-8:50,12/7C
LAWJ-049-05,(CRN #: 32937),Appellate Courts and Advocacy Workshop,2,"Wolfman, Brian",T,9:00-11:00,Paper
LAWJ-049-09,(CRN #: 32938),Appellate Courts and Advocacy Workshop,3,"Wolfman, Brian",T,9:00-11:00,WR
LAWJ-504-05,(CRN #: 32939),Appellate Courts Immersion Clinic,12,"Wolfman, Brian",WR,9:00-11:00,SR
LAWJ-504-06,(CRN #: 14025),Appellate Litigation Clinic,4,"Hashimoto, Erica J.",W,1:20-3:20,SR
LAWJ-537-05,(CRN #: 15393),Applied Legal Composition,2,"DeLaurentis, Frances C.",M,11:10-1:10,WR
LAWJ-537-06,(CRN #: 15394),Applied Legal Composition,1,"DeLaurentis, Frances C.",M,11:10-1:10,SR
LAWJ-2028-08,(CRN #: 32719),Assisted Reproductive Technologies and the Law,2,"Crockin, Susan",T,11:10-1:10,Paper
LAWJ-2028-10,(CRN #: 32721),Assisted Reproductive Technologies and the Law,3,"Crockin, Susan",T,11:10-1:10,WR
LAWJ-050-05,(CRN #: 13807),Aviation Law,2,"Foglia, Jonathon H. / 
Irvine, Peter D.",W,5:45-7:45,12/6C
