Course No.,CRN,Course Title,CR.,Faculty,Days,From-To,Exam/Paper
LAWJ-040-05,(CRN #: 23793),Advanced Patent Law Seminar,3,"Thomas, John R.",M,1:20-3:20,WR
LAWJ-065-08,(CRN #: 13825),"Alternative, Complementary, and Integrative Medicine, The Legal Issues Seminar",3,"Cohn, Sherman / 
Bulen, James / 
Fortsch, Gregory / 
Missner, Jonathan",W,5:45-7:45,WR
LAWJ-049-09,(CRN #: 32938),Appellate Courts and Advocacy Workshop,3,"Wolfman, Brian",T,9:00-11:00,WR
LAWJ-537-05,(CRN #: 15393),Applied Legal Composition,2,"DeLaurentis, Frances C.",M,11:10-1:10,WR
LAWJ-2028-10,(CRN #: 32721),Assisted Reproductive Technologies and the Law,3,"Crockin, Susan",T,11:10-1:10,WR
LAWJ-056-07,(CRN #: 32708),Biotechnology and Patent Law Seminar,3,"Marsh, David R.",M,5:45-7:45,WR
LAWJ-090-05,(CRN #: 32725),Capital Punishment Seminar,3,"Bessler, John D.",W,5:45-7:45,WR
LAWJ-200-09,(CRN #: 27429),Communications Law: Law and Policy in the Internet Age,3,"Shakin, Edward",R,9:00-11:00,WR
LAWJ-091-05,(CRN #: 32907),Comparative Constitutional Law Seminar,3,"Tew, Yvonne",R,1:20-3:20,WR
LAWJ-089-08,(CRN #: 14621),Constitutional Aspects of Foreign Affairs Seminar,3,"Wallace, Don / 
McGrath, Dean, / 
Lazarus, Kenneth A.",M,5:45-7:45,WR
LAWJ-1270-08,(CRN #: 32780),Consumer Debt and Bankruptcy Seminar,3,"Fleming, Anne",T,3:30-5:30,WR
LAWJ-113-05,(CRN #: 33404),Corporate Governance Seminar,3,"Feinerman, James",R,3:30-5:30,WR
LAWJ-014-05,(CRN #: 18443),Current Issues in Transnational (Private International) Law Seminar,3,"Stewart, David P.",T,11:10-1:10,WR
LAWJ-142-05,(CRN #: 13859),Energy Problems Seminar: Climate Change and Other Energy Issues,3,"Huffman, Robert / 
Weisgall, Jonathan M.",M,5:45-7:45,WR
LAWJ-189-05,(CRN #: 27448),Feminist Jurisprudence Seminar,3,"Abu-Odeh, Lama",W,1:20-3:20,WR
LAWJ-209-09,(CRN #: 33039),Housing Today: Lawyering Affordable Housing Seminar,3,"Altidor, Meghan F. / 
Wallace, Stephen J.",M,3:30-5:30,WR
LAWJ-1024-05,(CRN #: 32904),International Law Seminar: Water Resources,3,"Weiss, Edith B.",M,9:00-11:00,WR
