Course No.,CRN,Course Title,CR.,Faculty,Days,From-To,Exam/Paper
LAWJ-025-05,(CRN #: 17223),Administrative Law,3,"Cashin, Sheryll D.",TR,3:30-4:55,TK
LAWJ-448-08,(CRN #: 27692),Advanced Antitrust Economics and Law Seminar,3,"Shelanski, Howard / 
Popofsky, Mark S.",R,3:30-5:30,WR
LAWJ-046-09,(CRN #: 31214),Advanced Constitutional Law Seminar,2,"Barnett, Randy",T,3:30-5:30,Paper
LAWJ-1265-05,(CRN #: 27558),Advanced Constitutional Law Seminar: The Framing and Ratification of the Constitution,3,"Treanor, William / 
Mikhail, John",M,3:30-5:30,WR
LAWJ-1387-08,(CRN #: 31203),"Advanced Constitutional Law: The Constitution, Democracy, and the Economy",2,"Shanor, Amanda",R,10:00-12:00,Paper
LAWJ-032-05,(CRN #: 33523),Advanced Criminal Procedure and Litigation,2,"Lowell, Abbe",M,3:30-5:30,5/9A
LAWJ-168-07,(CRN #: 10373),Advanced Evidence: Supreme Court and the Constitution Seminar,3,"Rothstein, Paul F.",W,5:45-7:45,WR
LAWJ-2073-09,(CRN #: 27564),Advanced International Commercial Arbitration,3,"Whitesell, Anne Marie",T,9:00-11:00,R
LAWJ-483-08,(CRN #: 23858),Advanced Issues in International Human Rights Seminar,2,"Cerna, Christina M.",T,11:10-1:10,Paper
LAWJ-301-07,(CRN #: 27590),Advanced Legal Research,2,"Stoddard, Morgan",T,5:45-7:45,TK
LAWJ-036-05,(CRN #: 31224),Advanced Legal Writing and Practice for Judicial Clerks and Civil Litigators,2,"Hickman, Johanna M.",M,5:45-7:45,Paper
LAWJ-036-08,(CRN #: 31270),Advanced Legal Writing: Legal Writing as a Discipline,2,"Butler, Charles J.",W,11:10-1:10,Paper
LAWJ-1449-05,(CRN #: 33412),Advanced Oral Advocacy,2,"Goldblatt, Steven H.",W,1:20-3:20,SR
LAWJ-381-05,(CRN #: 29424),Advanced Studies in Federal Securities Regulation: Policy and Practice,3,"Olson, John F.",T,3:30-5:30,WR
LAWJ-381-08,(CRN #: 29425),Advanced Studies in Federal Securities Regulation: Policy and Practice,2,"Olson, John F.",T,3:30-5:30,Paper
LAWJ-1406-05,(CRN #: 31328),Advanced Topics in Corporate Law: Unincorporated Business Entities,1,"Parsons, Donald F.",MTWR,6:00-9:20,TK
LAWJ-127-08,(CRN #: 31364),Advocacy Tools for Public Interest Lawyers,2,"Bissell, Mary K. / Rosenbaum, Jessica T.",M,5:45-7:45,SR
LAWJ-508-06,(CRN #: 10524),Affordable Housing Transactions Clinic (Harrison Institute) (formerly the Harrison Institute for Public Law: Housing and Development Clinic),7,"Diamond, Michael",F,9:00-12:30,SR
LAWJ-038-97,(CRN #: 33450),Antitrust Law,3,"Shelanski, Howard",M,5:45-8:50,5/1C
LAWJ-1396-07,(CRN #: 31290),Antitrust Law Seminar: Case Development and Litigation Strategy,2,"Collins, Dale",T,5:45-7:45,Paper
LAWJ-049-05,(CRN #: 31302),Appellate Courts and Advocacy Workshop,2,"Wolfman, Brian",T,9:00-11:00,Paper
LAWJ-049-09,(CRN #: 33066),Appellate Courts and Advocacy Workshop,3,"Wolfman, Brian",T,9:00-11:00,WR
LAWJ-504-05,(CRN #: 31300),Appellate Courts Immersion Clinic,12,"Wolfman, Brian",WR,9:00-11:00,SR
LAWJ-504-06,(CRN #: 10521),Appellate Litigation Clinic,5,"Hashimoto, Erica J.",W,1:20-3:20,SR
LAWJ-044-05,(CRN #: 19621),Appellate Practice Seminar,3,"Leider, Robert / Blatt, Lisa S.",T,3:30-5:30,WR
LAWJ-537-05,(CRN #: 10924),Applied Legal Composition,2,"DeLaurentis, Frances C.",M,11:10-12:05,WR
LAWJ-537-06,(CRN #: 10925),Applied Legal Composition,1,"DeLaurentis, Frances C.",M,11:10-12:05,SR
LAWJ-3051-09,(CRN #: 33520),Arbitration in Latin America,1,"Zuleta, Eduardo",SU,9:00-4:30,TK
LAWJ-1329-08,(CRN #: 33452),"Art Law Seminar: Images, Objects, and Culture",3,"Bonneau, Sonya",R,1:20-3:20,WR
LAWJ-1316-05,(CRN #: 28820),Bankruptcy Advocacy (PROJECT-BASED PRACTICUM),4,"Kuney, David R.",R,11:10-1:10,SR
LAWJ-054-07,(CRN #: 27679),Bankruptcy and Creditors' Rights,3,"Ellenberg, Mark C. / 
Friedman, Peter M.",M,5:45-7:45,R
LAWJ-2086-08,(CRN #: 27670),Basic Accounting for Lawyers,2,"Bethard, James G., Jr.",M,5:45-7:45,TK
LAWJ-104-05,(CRN #: 33491),Behavioral Law and Economics Seminar,3,"Galle, Brian D.",R,1:20-3:20,WR
LAWJ-1175-05,(CRN #: 29488),Borders and Banishment Seminar,3,"McLeod, Allegra",R,1:20-3:20,WR
LAWJ-1175-08,(CRN #: 27616),Borders and Banishment Seminar,2,"McLeod, Allegra",R,1:20-3:20,Paper
LAWJ-1372-05,(CRN #: 30493),Business Essentials: A Mini-MBA for Lawyers,3,"Hills, Stephen P.",TR,9:35-11:00,5/3B&SR
LAWJ-1372-09,(CRN #: 30494),Business Essentials: A Mini-MBA for Lawyers,3,"Hills, Stephen P.",TR,1:55-3:20,5/3B&SR
LAWJ-500-06,(CRN #: 10517),Center for Applied Legal Studies,10,"Schrag, Philip G.",W,1:30-3:15,F
LAWJ-286-05,(CRN #: 10422),Church-State Law Seminar,3,"Chopko, Mark / 
Hollman, K. Hollyn",W,9:00-11:00,WR
LAWJ-286-09,(CRN #: 10775),Church-State Law Seminar,2,"Chopko, Mark / 
Hollman, K. Hollyn",W,9:00-11:00,Paper
LAWJ-531-05,(CRN #: 33455),Civic Engagement and Economic Development Seminar (formerly Social Entrepreneurship & Economic Development Law Seminar),3,"Cook, Anthony E.",T,1:20-3:20,WR
LAWJ-060-01,(CRN #: 10326),Civil Litigation Practice,2,"Bird, Coleman /  Russell-Hunter, Peregrine",W,8:30-10:30,SR
LAWJ-060-07,(CRN #: 27605),Civil Litigation Practice,2,"McGraw, Esther C. /  Rock, Jimmy",R,5:45-7:45,SR
LAWJ-1216-05,(CRN #: 33413),Civil Litigation Practice: From the Complaint to the Courthouse Steps,3,"Carlson, M. Jesse /  Kossak, Amy /  Stott-Bumsted, Hannah M.",R,5:45-8:50,SR
LAWJ-062-05,(CRN #: 29390),Civil Rights,3,"Abernathy, Charles F.",MW,11:10-12:35,5/9A
LAWJ-1322-05,(CRN #: 29405),Civil Rights Statutes and the Supreme Court Seminar,2,"Gornstein, Irving L.",M,3:30-5:30,Paper
LAWJ-379-08,(CRN #: 31232),Commercial Law: Sales and Leases,2,"Levitin, Adam J.",R,1:20-3:20,5/4B
LAWJ-071-05,(CRN #: 33445),Commercial Law: Secured Transactions,3,"Fleming, Anne",T,5:45-7:45,R
LAWJ-073-07,(CRN #: 10333),Communications Law and Policy,3,"Schneider, Mark D.",W,5:45-8:50,TK
LAWJ-627-05,(CRN #: 19623),Community Justice Project: Health Justice Alliance,10,"Cannon, Yael Z.",TR,11:10-1:10,SR
