Course No.,CRN,Course Title,CR.,Faculty,Days,From-To,Exam/Paper
LAWJ-448-08,(CRN #: 27692),Advanced Antitrust Economics and Law Seminar,3,"Shelanski, Howard / 
Popofsky, Mark S.",R,3:30-5:30,WR
LAWJ-1265-05,(CRN #: 27558),Advanced Constitutional Law Seminar: The Framing and Ratification of the Constitution,3,"Treanor, William / 
Mikhail, John",M,3:30-5:30,WR
LAWJ-168-07,(CRN #: 10373),Advanced Evidence: Supreme Court and the Constitution Seminar,3,"Rothstein, Paul F.",W,5:45-7:45,WR
LAWJ-381-05,(CRN #: 29424),Advanced Studies in Federal Securities Regulation: Policy and Practice,3,"Olson, John F.",T,3:30-5:30,WR
LAWJ-049-09,(CRN #: 33066),Appellate Courts and Advocacy Workshop,3,"Wolfman, Brian",T,9:00-11:00,WR
LAWJ-044-05,(CRN #: 19621),Appellate Practice Seminar,3,"Leider, Robert / Blatt, Lisa S.",T,3:30-5:30,WR
LAWJ-537-05,(CRN #: 10924),Applied Legal Composition,2,"DeLaurentis, Frances C.",M,11:10-12:05,WR
LAWJ-1329-08,(CRN #: 33452),"Art Law Seminar: Images, Objects, and Culture",3,"Bonneau, Sonya",R,1:20-3:20,WR
LAWJ-104-05,(CRN #: 33491),Behavioral Law and Economics Seminar,3,"Galle, Brian D.",R,1:20-3:20,WR
LAWJ-1175-05,(CRN #: 29488),Borders and Banishment Seminar,3,"McLeod, Allegra",R,1:20-3:20,WR
LAWJ-286-05,(CRN #: 10422),Church-State Law Seminar,3,"Chopko, Mark / 
Hollman, K. Hollyn",W,9:00-11:00,WR
LAWJ-531-05,(CRN #: 33455),Civic Engagement and Economic Development Seminar (formerly Social Entrepreneurship & Economic Development Law Seminar),3,"Cook, Anthony E.",T,1:20-3:20,WR
LAWJ-2030-11,(CRN #: 29476),"Comparative Reproductive Technologies and ""Reproductive Tourism""",3,"Crockin, Susan",T,11:10-1:10,WR
LAWJ-1121-05,(CRN #: 31256),Congressional Procedure and Statutory Interpretation Seminar,3,"Nourse, Victoria",W,1:20-3:20,WR
LAWJ-1067-05,(CRN #: 31211),English Legal History Seminar: Foundations of American Law,3,"Oldham, James",T,1:20-3:20,WR
LAWJ-1277-08,(CRN #: 27709),Environmental Dispute Resolution Seminar,3,"Colangelo, Sara A.",M,1:20-3:20,WR
LAWJ-722-05,(CRN #: 10612),Federal Limitations on State and Local Taxation,3,"Tatarowicz, Philip M. / Capino, Richard A.",W,5:45-7:45,WR
